State,ResidenceType_Urban,Household_members,HealthInsurance,Single_Parent,Religion,family_id
Jammu & Kashmir,1,4,0,0,2,421
Jammu & Kashmir,1,6,0,0,2,422
Jammu & Kashmir,1,5,0,0,2,423
Jammu & Kashmir,1,7,0,0,2,424
Jammu & Kashmir,1,5,0,0,2,425
Jammu & Kashmir,1,4,0,0,2,426
Jammu & Kashmir,1,4,0,0,2,427
Jammu & Kashmir,1,5,0,0,2,428
Jammu & Kashmir,1,6,0,0,2,429
Jammu & Kashmir,1,8,0,0,2,430
Jammu & Kashmir,1,7,0,0,2,431
Jammu & Kashmir,1,5,0,0,2,432
Jammu & Kashmir,1,5,0,0,2,433
Jammu & Kashmir,1,10,0,0,2,434
Jammu & Kashmir,0,5,0,0,2,435
Jammu & Kashmir,0,4,0,0,2,436
Jammu & Kashmir,0,6,0,0,2,437
Jammu & Kashmir,0,6,0,0,2,438
Jammu & Kashmir,0,5,0,0,2,439
Jammu & Kashmir,0,7,0,0,2,440
Jammu & Kashmir,0,6,0,0,2,441
Jammu & Kashmir,0,5,0,0,2,442
Jammu & Kashmir,0,8,0,0,2,443
Jammu & Kashmir,0,5,0,0,2,444
Jammu & Kashmir,0,5,0,0,2,445
Jammu & Kashmir,0,6,0,0,2,446
Jammu & Kashmir,0,5,0,0,2,447
Jammu & Kashmir,0,4,0,0,2,448
Jammu & Kashmir,0,5,0,0,2,449
Jammu & Kashmir,0,4,0,0,2,450
Jammu & Kashmir,0,9,0,0,2,451
Jammu & Kashmir,0,6,0,0,2,452
Jammu & Kashmir,0,4,0,0,2,453
Jammu & Kashmir,0,6,0,0,2,454
Jammu & Kashmir,0,5,0,0,2,455
Jammu & Kashmir,0,5,0,0,2,456
Jammu & Kashmir,0,3,0,0,2,457
Jammu & Kashmir,0,4,0,0,2,458
Jammu & Kashmir,0,6,0,0,2,459
Jammu & Kashmir,0,7,0,0,2,460
Jammu & Kashmir,0,6,0,0,2,461
Jammu & Kashmir,0,6,0,0,2,462
Jammu & Kashmir,0,5,0,0,2,463
Jammu & Kashmir,0,7,0,0,2,464
Jammu & Kashmir,0,6,0,0,2,465
Jammu & Kashmir,0,5,0,0,2,466
Jammu & Kashmir,0,5,0,0,2,467
Jammu & Kashmir,0,5,0,0,2,468
Jammu & Kashmir,0,6,0,0,2,469
Jammu & Kashmir,0,8,0,0,2,470
Jammu & Kashmir,0,7,0,0,2,471
Jammu & Kashmir,0,7,0,0,2,472
Jammu & Kashmir,0,8,0,1,2,473
Jammu & Kashmir,0,5,0,0,2,474
Jammu & Kashmir,0,13,0,0,2,475
Jammu & Kashmir,0,6,0,0,2,476
Jammu & Kashmir,0,5,0,0,2,477
Jammu & Kashmir,0,5,0,0,2,478
Jammu & Kashmir,0,6,0,0,2,479
Jammu & Kashmir,0,5,0,0,2,480
Jammu & Kashmir,0,5,0,0,3,481
Jammu & Kashmir,0,6,0,0,2,482
Jammu & Kashmir,0,5,0,0,2,483
Jammu & Kashmir,0,5,0,0,2,484
Jammu & Kashmir,0,5,0,0,2,485
Jammu & Kashmir,0,6,0,0,2,486
Jammu & Kashmir,0,4,1,0,2,487
Jammu & Kashmir,0,6,0,0,2,488
Jammu & Kashmir,0,6,0,0,2,489
Jammu & Kashmir,0,7,0,0,2,490
Jammu & Kashmir,0,6,0,0,2,491
Jammu & Kashmir,0,7,0,0,2,492
Jammu & Kashmir,0,5,0,0,2,493
Jammu & Kashmir,0,6,0,0,2,494
Jammu & Kashmir,0,4,0,0,2,495
Jammu & Kashmir,0,5,0,0,2,496
Jammu & Kashmir,0,5,0,0,2,497
Jammu & Kashmir,0,5,1,1,2,498
Jammu & Kashmir,0,3,0,0,2,499
Jammu & Kashmir,0,6,0,0,2,500
Jammu & Kashmir,0,5,0,0,2,501
Jammu & Kashmir,0,5,0,0,2,502
Jammu & Kashmir,0,7,0,0,2,503
Jammu & Kashmir,0,5,0,0,2,504
Jammu & Kashmir,0,5,0,0,2,505
Jammu & Kashmir,0,4,0,0,2,506
Jammu & Kashmir,0,6,0,0,2,507
Jammu & Kashmir,0,6,0,0,2,508
Jammu & Kashmir,0,3,0,0,2,509
Jammu & Kashmir,0,4,0,0,2,510
Jammu & Kashmir,0,5,0,0,2,511
Jammu & Kashmir,0,5,0,0,2,512
Jammu & Kashmir,0,5,0,0,2,513
Jammu & Kashmir,0,5,0,0,2,514
Jammu & Kashmir,0,4,0,0,2,515
Jammu & Kashmir,0,5,0,0,2,516
Jammu & Kashmir,0,6,0,0,2,517
Jammu & Kashmir,0,7,0,0,2,518
Jammu & Kashmir,0,6,0,0,2,519
Jammu & Kashmir,0,3,0,0,2,520
Jammu & Kashmir,0,5,0,0,2,521
Jammu & Kashmir,0,6,0,0,2,522
Jammu & Kashmir,0,5,0,0,2,523
Jammu & Kashmir,0,5,0,0,2,524
Jammu & Kashmir,0,8,0,0,2,525
Jammu & Kashmir,0,8,0,0,2,526
Jammu & Kashmir,0,4,0,0,2,527
Jammu & Kashmir,0,5,0,0,2,528
Jammu & Kashmir,0,5,0,0,2,529
Jammu & Kashmir,0,5,0,0,2,530
Jammu & Kashmir,0,6,0,0,2,531
Jammu & Kashmir,0,4,0,0,2,532
Jammu & Kashmir,0,5,0,0,2,533
Jammu & Kashmir,0,4,0,0,2,534
Jammu & Kashmir,0,6,0,0,2,535
Jammu & Kashmir,0,3,0,0,2,536
Jammu & Kashmir,0,6,0,0,2,537
Jammu & Kashmir,0,7,0,0,2,538
Jammu & Kashmir,0,5,0,0,2,539
Jammu & Kashmir,0,4,0,0,2,540
Jammu & Kashmir,0,6,0,0,2,541
Jammu & Kashmir,0,5,0,0,2,542
Jammu & Kashmir,0,4,0,0,2,543
Jammu & Kashmir,0,8,0,0,2,544
Jammu & Kashmir,0,5,0,0,2,545
Jammu & Kashmir,0,6,0,0,2,546
Jammu & Kashmir,0,5,0,0,2,547
Jammu & Kashmir,0,5,0,0,2,548
Jammu & Kashmir,0,6,0,0,2,549
Jammu & Kashmir,0,6,0,0,2,550
